rate,values,time
77.0599,Euro to Russian ruble,09/01/2019 20:00:55
10.2345,Euro to Swedish krona,09/01/2019 20:00:55
1.56296,Euro to Singapore dollar,09/01/2019 20:00:55
6.32138,Euro to Turkish lira,09/01/2019 20:00:55
16.0127,Euro to South African rand,09/01/2019 20:00:55
9.05458,Euro to Hong Kong dollar,09/01/2019 20:00:55
7.86584,Euro to Renminbi,09/01/2019 20:00:55
7.46614,Euro to Danish krone,09/01/2019 20:00:55
22.1952,Euro to Mexican peso,09/01/2019 20:00:55
4.30169,Euro to Polish złoty,09/01/2019 20:00:55
0.0734724,Silver value in Euro,09/01/2019 20:00:55
8.93854E-4,Gold value in Euro,09/01/2019 20:00:55
2.85313E-4,Euro to Bitcoin,09/01/2019 20:00:55
0.00764934,Euro to Ether,09/01/2019 20:00:55
0.029389,Euro to Litecoin,09/01/2019 20:00:55
3.16971,Euro to XRP,09/01/2019 20:00:55
0.0130454,Euro to Dashcoin,09/01/2019 20:00:55
0.00725811,Euro to Bitcoin Cash,09/01/2019 20:00:55
1.15477,Euro to American dollar,09/01/2019 20:01:21
0.902775,Euro to pound sterling,09/01/2019 20:01:21
1.12555,Euro to Swiss franc,09/01/2019 20:01:21
1.52528,Euro to Canadian dollar,09/01/2019 20:01:21
1.60656,Euro to Australian dollar,09/01/2019 20:01:21
1.69702,Euro to New Zealand dollar,09/01/2019 20:01:21
124.929,Euro to Japanese yen,09/01/2019 20:01:21
9.76598,Euro to Norwegian krone,09/01/2019 20:01:21
77.0198,Euro to Russian ruble,09/01/2019 20:01:21
10.2352,Euro to Swedish krona,09/01/2019 20:01:21
1.56224,Euro to Singapore dollar,09/01/2019 20:01:21
6.32256,Euro to Turkish lira,09/01/2019 20:01:21
16.0083,Euro to South African rand,09/01/2019 20:01:21
9.05067,Euro to Hong Kong dollar,09/01/2019 20:01:21
7.86285,Euro to Renminbi,09/01/2019 20:01:21
7.46644,Euro to Danish krone,09/01/2019 20:01:21
22.1896,Euro to Mexican peso,09/01/2019 20:01:21
4.30115,Euro to Polish złoty,09/01/2019 20:01:21
0.0735131,Silver value in Euro,09/01/2019 20:01:21
8.9409E-4,Gold value in Euro,09/01/2019 20:01:21
2.85169E-4,Euro to Bitcoin,09/01/2019 20:01:21
0.00764704,Euro to Ether,09/01/2019 20:01:21
0.0293762,Euro to Litecoin,09/01/2019 20:01:21
3.16587,Euro to XRP,09/01/2019 20:01:21
0.0130312,Euro to Dashcoin,09/01/2019 20:01:21
0.00725437,Euro to Bitcoin Cash,09/01/2019 20:01:21
1.15427,Euro to American dollar,09/01/2019 20:01:47
0.90248,Euro to pound sterling,09/01/2019 20:01:47
1.12538,Euro to Swiss franc,09/01/2019 20:01:47
1.52441,Euro to Canadian dollar,09/01/2019 20:01:47
1.60561,Euro to Australian dollar,09/01/2019 20:01:47
1.69652,Euro to New Zealand dollar,09/01/2019 20:01:47
124.932,Euro to Japanese yen,09/01/2019 20:01:47
9.76615,Euro to Norwegian krone,09/01/2019 20:01:47
76.9886,Euro to Russian ruble,09/01/2019 20:01:47
10.2351,Euro to Swedish krona,09/01/2019 20:01:47
1.5616,Euro to Singapore dollar,09/01/2019 20:01:47
6.31807,Euro to Turkish lira,09/01/2019 20:01:47
16.0026,Euro to South African rand,09/01/2019 20:01:47
9.04676,Euro to Hong Kong dollar,09/01/2019 20:01:47
7.8595,Euro to Renminbi,09/01/2019 20:01:47
7.46652,Euro to Danish krone,09/01/2019 20:01:47
22.1846,Euro to Mexican peso,09/01/2019 20:01:47
4.3001,Euro to Polish złoty,09/01/2019 20:01:47
0.0734625,Silver value in Euro,09/01/2019 20:01:47
8.93392E-4,Gold value in Euro,09/01/2019 20:01:47
2.85056E-4,Euro to Bitcoin,09/01/2019 20:01:47
0.00764424,Euro to Ether,09/01/2019 20:01:47
0.029371,Euro to Litecoin,09/01/2019 20:01:47
3.16189,Euro to XRP,09/01/2019 20:01:47
0.0130241,Euro to Dashcoin,09/01/2019 20:01:47
0.0072516,Euro to Bitcoin Cash,09/01/2019 20:01:47
1.15378,Euro to American dollar,09/01/2019 20:02:13
0.902535,Euro to pound sterling,09/01/2019 20:02:13
1.12561,Euro to Swiss franc,09/01/2019 20:02:13
1.52414,Euro to Canadian dollar,09/01/2019 20:02:13
1.60589,Euro to Australian dollar,09/01/2019 20:02:13
1.6966,Euro to New Zealand dollar,09/01/2019 20:02:13
124.944,Euro to Japanese yen,09/01/2019 20:02:13
9.76594,Euro to Norwegian krone,09/01/2019 20:02:13
76.9679,Euro to Russian ruble,09/01/2019 20:02:13
10.2334,Euro to Swedish krona,09/01/2019 20:02:13
1.56113,Euro to Singapore dollar,09/01/2019 20:02:13
6.31532,Euro to Turkish lira,09/01/2019 20:02:13
16.0028,Euro to South African rand,09/01/2019 20:02:13
9.04283,Euro to Hong Kong dollar,09/01/2019 20:02:13
7.85656,Euro to Renminbi,09/01/2019 20:02:13
7.46656,Euro to Danish krone,09/01/2019 20:02:13
22.1835,Euro to Mexican peso,09/01/2019 20:02:13
4.29996,Euro to Polish złoty,09/01/2019 20:02:13
0.073529,Silver value in Euro,09/01/2019 20:02:13
8.93728E-4,Gold value in Euro,09/01/2019 20:02:13
2.84959E-4,Euro to Bitcoin,09/01/2019 20:02:13
0.00764042,Euro to Ether,09/01/2019 20:02:13
0.0293583,Euro to Litecoin,09/01/2019 20:02:13
3.16105,Euro to XRP,09/01/2019 20:02:13
0.0130194,Euro to Dashcoin,09/01/2019 20:02:13
0.00724968,Euro to Bitcoin Cash,09/01/2019 20:02:13
1.15345,Euro to American dollar,09/01/2019 20:02:40
0.90251,Euro to pound sterling,09/01/2019 20:02:40
1.12536,Euro to Swiss franc,09/01/2019 20:02:40
1.52386,Euro to Canadian dollar,09/01/2019 20:02:40
1.6057,Euro to Australian dollar,09/01/2019 20:02:40
1.69639,Euro to New Zealand dollar,09/01/2019 20:02:40
124.9115,Euro to Japanese yen,09/01/2019 20:02:40
9.76678,Euro to Norwegian krone,09/01/2019 20:02:40
76.9467,Euro to Russian ruble,09/01/2019 20:02:40
10.2338,Euro to Swedish krona,09/01/2019 20:02:40
1.5609,Euro to Singapore dollar,09/01/2019 20:02:40
6.31521,Euro to Turkish lira,09/01/2019 20:02:40
15.9984,Euro to South African rand,09/01/2019 20:02:40
9.04023,Euro to Hong Kong dollar,09/01/2019 20:02:40
7.85455,Euro to Renminbi,09/01/2019 20:02:40
7.46646,Euro to Danish krone,09/01/2019 20:02:40
22.1709,Euro to Mexican peso,09/01/2019 20:02:40
4.29989,Euro to Polish złoty,09/01/2019 20:02:40
0.0735454,Silver value in Euro,09/01/2019 20:02:40
8.93676E-4,Gold value in Euro,09/01/2019 20:02:40
2.84942E-4,Euro to Bitcoin,09/01/2019 20:02:40
0.00763925,Euro to Ether,09/01/2019 20:02:40
0.0293499,Euro to Litecoin,09/01/2019 20:02:40
3.15902,Euro to XRP,09/01/2019 20:02:40
0.0130163,Euro to Dashcoin,09/01/2019 20:02:40
0.00724752,Euro to Bitcoin Cash,09/01/2019 20:02:40
1.15403,Euro to American dollar,09/01/2019 20:03:06
0.90243,Euro to pound sterling,09/01/2019 20:03:06
1.12538,Euro to Swiss franc,09/01/2019 20:03:06
1.52432,Euro to Canadian dollar,09/01/2019 20:03:06
1.60593,Euro to Australian dollar,09/01/2019 20:03:06
1.69654,Euro to New Zealand dollar,09/01/2019 20:03:06
124.9,Euro to Japanese yen,09/01/2019 20:03:06
9.76768,Euro to Norwegian krone,09/01/2019 20:03:06
76.9794,Euro to Russian ruble,09/01/2019 20:03:06
10.2352,Euro to Swedish krona,09/01/2019 20:03:06
1.56136,Euro to Singapore dollar,09/01/2019 20:03:06
6.31881,Euro to Turkish lira,09/01/2019 20:03:06
16.0065,Euro to South African rand,09/01/2019 20:03:06
9.04508,Euro to Hong Kong dollar,09/01/2019 20:03:06
7.85945,Euro to Renminbi,09/01/2019 20:03:06
7.46662,Euro to Danish krone,09/01/2019 20:03:06
22.1829,Euro to Mexican peso,09/01/2019 20:03:06
4.29995,Euro to Polish złoty,09/01/2019 20:03:06
0.0734725,Silver value in Euro,09/01/2019 20:03:06
8.9334E-4,Gold value in Euro,09/01/2019 20:03:06
2.85291E-4,Euro to Bitcoin,09/01/2019 20:03:06
0.00764487,Euro to Ether,09/01/2019 20:03:06
0.0293731,Euro to Litecoin,09/01/2019 20:03:06
3.1615,Euro to XRP,09/01/2019 20:03:06
0.0130242,Euro to Dashcoin,09/01/2019 20:03:06
0.00725265,Euro to Bitcoin Cash,09/01/2019 20:03:06
1.15383,Euro to American dollar,09/01/2019 20:03:32
0.902305,Euro to pound sterling,09/01/2019 20:03:32
1.12532,Euro to Swiss franc,09/01/2019 20:03:32
1.5243,Euro to Canadian dollar,09/01/2019 20:03:32
1.60618,Euro to Australian dollar,09/01/2019 20:03:32
1.69673,Euro to New Zealand dollar,09/01/2019 20:03:32
124.885,Euro to Japanese yen,09/01/2019 20:03:32
9.76767,Euro to Norwegian krone,09/01/2019 20:03:32
76.9866,Euro to Russian ruble,09/01/2019 20:03:32
10.2363,Euro to Swedish krona,09/01/2019 20:03:32
1.56121,Euro to Singapore dollar,09/01/2019 20:03:32
6.3197,Euro to Turkish lira,09/01/2019 20:03:32
16.011,Euro to South African rand,09/01/2019 20:03:32
9.04324,Euro to Hong Kong dollar,09/01/2019 20:03:32
7.85931,Euro to Renminbi,09/01/2019 20:03:32
7.46651,Euro to Danish krone,09/01/2019 20:03:32
22.1896,Euro to Mexican peso,09/01/2019 20:03:32
4.29988,Euro to Polish złoty,09/01/2019 20:03:32
0.0734997,Silver value in Euro,09/01/2019 20:03:32
8.93549E-4,Gold value in Euro,09/01/2019 20:03:32
2.85165E-4,Euro to Bitcoin,09/01/2019 20:03:32
0.00764332,Euro to Ether,09/01/2019 20:03:32
0.0293671,Euro to Litecoin,09/01/2019 20:03:32
3.16146,Euro to XRP,09/01/2019 20:03:32
0.0130226,Euro to Dashcoin,09/01/2019 20:03:32
0.00725254,Euro to Bitcoin Cash,09/01/2019 20:03:32
1.15311,Euro to American dollar,09/01/2019 20:03:58
0.90218,Euro to pound sterling,09/01/2019 20:03:58
1.12521,Euro to Swiss franc,09/01/2019 20:03:58
1.52418,Euro to Canadian dollar,09/01/2019 20:03:58
1.60623,Euro to Australian dollar,09/01/2019 20:03:58
1.69667,Euro to New Zealand dollar,09/01/2019 20:03:58
124.852,Euro to Japanese yen,09/01/2019 20:03:58
9.7685,Euro to Norwegian krone,09/01/2019 20:03:58
76.968,Euro to Russian ruble,09/01/2019 20:03:58
10.2359,Euro to Swedish krona,09/01/2019 20:03:58
1.56046,Euro to Singapore dollar,09/01/2019 20:03:58
6.31936,Euro to Turkish lira,09/01/2019 20:03:58
16.0129,Euro to South African rand,09/01/2019 20:03:58
9.03944,Euro to Hong Kong dollar,09/01/2019 20:03:58
7.85512,Euro to Renminbi,09/01/2019 20:03:58
7.46636,Euro to Danish krone,09/01/2019 20:03:58
22.1908,Euro to Mexican peso,09/01/2019 20:03:58
4.29975,Euro to Polish złoty,09/01/2019 20:03:58
0.0735367,Silver value in Euro,09/01/2019 20:03:58
8.93488E-4,Gold value in Euro,09/01/2019 20:03:58
2.85107E-4,Euro to Bitcoin,09/01/2019 20:03:58
0.0076401,Euro to Ether,09/01/2019 20:03:58
0.0293623,Euro to Litecoin,09/01/2019 20:03:58
3.16035,Euro to XRP,09/01/2019 20:03:58
0.0130184,Euro to Dashcoin,09/01/2019 20:03:58
0.00725108,Euro to Bitcoin Cash,09/01/2019 20:03:58
1.15373,Euro to American dollar,09/01/2019 20:04:25
0.902225,Euro to pound sterling,09/01/2019 20:04:25
1.12552,Euro to Swiss franc,09/01/2019 20:04:25
1.5246,Euro to Canadian dollar,09/01/2019 20:04:25
1.60647,Euro to Australian dollar,09/01/2019 20:04:25
1.69724,Euro to New Zealand dollar,09/01/2019 20:04:25
124.922,Euro to Japanese yen,09/01/2019 20:04:25
9.76603,Euro to Norwegian krone,09/01/2019 20:04:25
77.0318,Euro to Russian ruble,09/01/2019 20:04:25
10.2352,Euro to Swedish krona,09/01/2019 20:04:25
1.56113,Euro to Singapore dollar,09/01/2019 20:04:25
6.32194,Euro to Turkish lira,09/01/2019 20:04:25
16.0173,Euro to South African rand,09/01/2019 20:04:25
9.04246,Euro to Hong Kong dollar,09/01/2019 20:04:25
7.85858,Euro to Renminbi,09/01/2019 20:04:25
7.46653,Euro to Danish krone,09/01/2019 20:04:25
22.193,Euro to Mexican peso,09/01/2019 20:04:25
4.29997,Euro to Polish złoty,09/01/2019 20:04:25
0.0735238,Silver value in Euro,09/01/2019 20:04:25
8.93475E-4,Gold value in Euro,09/01/2019 20:04:25
2.8524E-4,Euro to Bitcoin,09/01/2019 20:04:25
0.00764569,Euro to Ether,09/01/2019 20:04:25
0.029387,Euro to Litecoin,09/01/2019 20:04:25
3.16153,Euro to XRP,09/01/2019 20:04:25
0.0130246,Euro to Dashcoin,09/01/2019 20:04:25
0.0072561,Euro to Bitcoin Cash,09/01/2019 20:04:25
1.1542,Euro to American dollar,09/01/2019 20:04:51
0.902415,Euro to pound sterling,09/01/2019 20:04:51
1.12565,Euro to Swiss franc,09/01/2019 20:04:51
1.52512,Euro to Canadian dollar,09/01/2019 20:04:51
1.60672,Euro to Australian dollar,09/01/2019 20:04:51
1.69728,Euro to New Zealand dollar,09/01/2019 20:04:51
124.953,Euro to Japanese yen,09/01/2019 20:04:51
9.76603,Euro to Norwegian krone,09/01/2019 20:04:51
77.0486,Euro to Russian ruble,09/01/2019 20:04:51
10.2347,Euro to Swedish krona,09/01/2019 20:04:51
1.56174,Euro to Singapore dollar,09/01/2019 20:04:51
6.32479,Euro to Turkish lira,09/01/2019 20:04:51
16.0183,Euro to South African rand,09/01/2019 20:04:51
9.04559,Euro to Hong Kong dollar,09/01/2019 20:04:51
7.86032,Euro to Renminbi,09/01/2019 20:04:51
7.46644,Euro to Danish krone,09/01/2019 20:04:51
22.1938,Euro to Mexican peso,09/01/2019 20:04:51
4.2999,Euro to Polish złoty,09/01/2019 20:04:51
0.0735305,Silver value in Euro,09/01/2019 20:04:51
8.9365E-4,Gold value in Euro,09/01/2019 20:04:51
2.85423E-4,Euro to Bitcoin,09/01/2019 20:04:51
0.0076524,Euro to Ether,09/01/2019 20:04:51
0.0293972,Euro to Litecoin,09/01/2019 20:04:51
3.16293,Euro to XRP,09/01/2019 20:04:51
0.0130478,Euro to Dashcoin,09/01/2019 20:04:51
0.0072609,Euro to Bitcoin Cash,09/01/2019 20:04:51
1.15423,Euro to American dollar,09/01/2019 20:05:17
0.90254,Euro to pound sterling,09/01/2019 20:05:17
1.12561,Euro to Swiss franc,09/01/2019 20:05:17
1.52514,Euro to Canadian dollar,09/01/2019 20:05:17
1.60689,Euro to Australian dollar,09/01/2019 20:05:17
1.69753,Euro to New Zealand dollar,09/01/2019 20:05:17
124.9635,Euro to Japanese yen,09/01/2019 20:05:17
9.76642,Euro to Norwegian krone,09/01/2019 20:05:17
77.0414,Euro to Russian ruble,09/01/2019 20:05:17
10.2348,Euro to Swedish krona,09/01/2019 20:05:17
1.56182,Euro to Singapore dollar,09/01/2019 20:05:17
6.32508,Euro to Turkish lira,09/01/2019 20:05:17
16.0165,Euro to South African rand,09/01/2019 20:05:17
9.04653,Euro to Hong Kong dollar,09/01/2019 20:05:17
7.86115,Euro to Renminbi,09/01/2019 20:05:17
7.46649,Euro to Danish krone,09/01/2019 20:05:17
22.1875,Euro to Mexican peso,09/01/2019 20:05:17
4.29989,Euro to Polish złoty,09/01/2019 20:05:17
0.0735382,Silver value in Euro,09/01/2019 20:05:17
8.93753E-4,Gold value in Euro,09/01/2019 20:05:17
2.85543E-4,Euro to Bitcoin,09/01/2019 20:05:17
0.00764965,Euro to Ether,09/01/2019 20:05:17
0.0294003,Euro to Litecoin,09/01/2019 20:05:17
3.16534,Euro to XRP,09/01/2019 20:05:17
0.0130498,Euro to Dashcoin,09/01/2019 20:05:17
0.00726179,Euro to Bitcoin Cash,09/01/2019 20:05:17
1.15423,Euro to American dollar,09/01/2019 20:05:43
0.902495,Euro to pound sterling,09/01/2019 20:05:43
1.12556,Euro to Swiss franc,09/01/2019 20:05:43
1.52452,Euro to Canadian dollar,09/01/2019 20:05:43
1.60657,Euro to Australian dollar,09/01/2019 20:05:43
1.69725,Euro to New Zealand dollar,09/01/2019 20:05:43
124.9665,Euro to Japanese yen,09/01/2019 20:05:43
9.76629,Euro to Norwegian krone,09/01/2019 20:05:43
77.0458,Euro to Russian ruble,09/01/2019 20:05:43
10.2343,Euro to Swedish krona,09/01/2019 20:05:43
1.56174,Euro to Singapore dollar,09/01/2019 20:05:43
6.32485,Euro to Turkish lira,09/01/2019 20:05:43
16.004,Euro to South African rand,09/01/2019 20:05:43
9.04618,Euro to Hong Kong dollar,09/01/2019 20:05:43
7.85988,Euro to Renminbi,09/01/2019 20:05:43
7.4664,Euro to Danish krone,09/01/2019 20:05:43
22.182,Euro to Mexican peso,09/01/2019 20:05:43
4.29984,Euro to Polish złoty,09/01/2019 20:05:43
0.0735283,Silver value in Euro,09/01/2019 20:05:43
8.93773E-4,Gold value in Euro,09/01/2019 20:05:43
2.8588E-4,Euro to Bitcoin,09/01/2019 20:05:43
0.00765645,Euro to Ether,09/01/2019 20:05:43
0.0294291,Euro to Litecoin,09/01/2019 20:05:43
3.16361,Euro to XRP,09/01/2019 20:05:43
0.0130613,Euro to Dashcoin,09/01/2019 20:05:43
0.00726617,Euro to Bitcoin Cash,09/01/2019 20:05:43
1.1542,Euro to American dollar,09/01/2019 20:06:09
0.90259,Euro to pound sterling,09/01/2019 20:06:09
1.12557,Euro to Swiss franc,09/01/2019 20:06:09
1.52454,Euro to Canadian dollar,09/01/2019 20:06:09
1.60657,Euro to Australian dollar,09/01/2019 20:06:09
1.69723,Euro to New Zealand dollar,09/01/2019 20:06:09
124.969,Euro to Japanese yen,09/01/2019 20:06:09
9.76567,Euro to Norwegian krone,09/01/2019 20:06:09
77.0432,Euro to Russian ruble,09/01/2019 20:06:09
10.2345,Euro to Swedish krona,09/01/2019 20:06:09
1.56178,Euro to Singapore dollar,09/01/2019 20:06:09
6.32486,Euro to Turkish lira,09/01/2019 20:06:09
16.0037,Euro to South African rand,09/01/2019 20:06:09
9.04634,Euro to Hong Kong dollar,09/01/2019 20:06:09
7.86034,Euro to Renminbi,09/01/2019 20:06:09
7.46657,Euro to Danish krone,09/01/2019 20:06:09
22.1821,Euro to Mexican peso,09/01/2019 20:06:09
4.29985,Euro to Polish złoty,09/01/2019 20:06:09
0.0735366,Silver value in Euro,09/01/2019 20:06:09
8.93962E-4,Gold value in Euro,09/01/2019 20:06:09
2.85893E-4,Euro to Bitcoin,09/01/2019 20:06:09
0.0076576,Euro to Ether,09/01/2019 20:06:09
0.0294296,Euro to Litecoin,09/01/2019 20:06:09
3.1654,Euro to XRP,09/01/2019 20:06:09
0.0130631,Euro to Dashcoin,09/01/2019 20:06:09
0.00726621,Euro to Bitcoin Cash,09/01/2019 20:06:09
1.1542,Euro to American dollar,09/01/2019 20:06:36
0.90259,Euro to pound sterling,09/01/2019 20:06:36
1.12565,Euro to Swiss franc,09/01/2019 20:06:36
1.52446,Euro to Canadian dollar,09/01/2019 20:06:36
1.6065,Euro to Australian dollar,09/01/2019 20:06:36
1.69698,Euro to New Zealand dollar,09/01/2019 20:06:36
124.964,Euro to Japanese yen,09/01/2019 20:06:36
9.76574,Euro to Norwegian krone,09/01/2019 20:06:36
77.0376,Euro to Russian ruble,09/01/2019 20:06:36
10.2344,Euro to Swedish krona,09/01/2019 20:06:36
1.56176,Euro to Singapore dollar,09/01/2019 20:06:36
6.32488,Euro to Turkish lira,09/01/2019 20:06:36
16.0042,Euro to South African rand,09/01/2019 20:06:36
9.04614,Euro to Hong Kong dollar,09/01/2019 20:06:36
7.86037,Euro to Renminbi,09/01/2019 20:06:36
7.46643,Euro to Danish krone,09/01/2019 20:06:36
22.1839,Euro to Mexican peso,09/01/2019 20:06:36
4.29993,Euro to Polish złoty,09/01/2019 20:06:36
0.073528,Silver value in Euro,09/01/2019 20:06:36
8.93943E-4,Gold value in Euro,09/01/2019 20:06:36
2.85904E-4,Euro to Bitcoin,09/01/2019 20:06:36
0.00765693,Euro to Ether,09/01/2019 20:06:36
0.0294215,Euro to Litecoin,09/01/2019 20:06:36
3.16533,Euro to XRP,09/01/2019 20:06:36
0.0130638,Euro to Dashcoin,09/01/2019 20:06:36
0.00726806,Euro to Bitcoin Cash,09/01/2019 20:06:36
1.15438,Euro to American dollar,09/01/2019 20:07:02
0.90243,Euro to pound sterling,09/01/2019 20:07:02
1.12565,Euro to Swiss franc,09/01/2019 20:07:02
1.5245,Euro to Canadian dollar,09/01/2019 20:07:02
1.60655,Euro to Australian dollar,09/01/2019 20:07:02
1.697,Euro to New Zealand dollar,09/01/2019 20:07:02
124.975,Euro to Japanese yen,09/01/2019 20:07:02
9.76574,Euro to Norwegian krone,09/01/2019 20:07:02
77.0504,Euro to Russian ruble,09/01/2019 20:07:02
10.2345,Euro to Swedish krona,09/01/2019 20:07:02
1.56183,Euro to Singapore dollar,09/01/2019 20:07:02
6.32513,Euro to Turkish lira,09/01/2019 20:07:02
16.0067,Euro to South African rand,09/01/2019 20:07:02
9.04755,Euro to Hong Kong dollar,09/01/2019 20:07:02
7.86161,Euro to Renminbi,09/01/2019 20:07:02
7.46651,Euro to Danish krone,09/01/2019 20:07:02
22.1918,Euro to Mexican peso,09/01/2019 20:07:02
4.29991,Euro to Polish złoty,09/01/2019 20:07:02
0.0735113,Silver value in Euro,09/01/2019 20:07:02
8.93788E-4,Gold value in Euro,09/01/2019 20:07:02
2.85873E-4,Euro to Bitcoin,09/01/2019 20:07:02
0.00765812,Euro to Ether,09/01/2019 20:07:02
0.0294261,Euro to Litecoin,09/01/2019 20:07:02
3.16388,Euro to XRP,09/01/2019 20:07:02
0.0130676,Euro to Dashcoin,09/01/2019 20:07:02
0.00726718,Euro to Bitcoin Cash,09/01/2019 20:07:02
1.15446,Euro to American dollar,09/01/2019 20:07:28
0.90259,Euro to pound sterling,09/01/2019 20:07:28
1.12559,Euro to Swiss franc,09/01/2019 20:07:28
1.52476,Euro to Canadian dollar,09/01/2019 20:07:28
1.60644,Euro to Australian dollar,09/01/2019 20:07:28
1.69733,Euro to New Zealand dollar,09/01/2019 20:07:28
124.9565,Euro to Japanese yen,09/01/2019 20:07:28
9.7657,Euro to Norwegian krone,09/01/2019 20:07:28
77.0521,Euro to Russian ruble,09/01/2019 20:07:28
10.2343,Euro to Swedish krona,09/01/2019 20:07:28
1.56193,Euro to Singapore dollar,09/01/2019 20:07:28
6.32516,Euro to Turkish lira,09/01/2019 20:07:28
15.9989,Euro to South African rand,09/01/2019 20:07:28
9.0481,Euro to Hong Kong dollar,09/01/2019 20:07:28
7.86156,Euro to Renminbi,09/01/2019 20:07:28
7.46648,Euro to Danish krone,09/01/2019 20:07:28
22.1943,Euro to Mexican peso,09/01/2019 20:07:28
4.29994,Euro to Polish złoty,09/01/2019 20:07:28
0.0735392,Silver value in Euro,09/01/2019 20:07:28
8.93769E-4,Gold value in Euro,09/01/2019 20:07:28
2.85945E-4,Euro to Bitcoin,09/01/2019 20:07:28
0.00765858,Euro to Ether,09/01/2019 20:07:28
0.0294279,Euro to Litecoin,09/01/2019 20:07:28
3.1661,Euro to XRP,09/01/2019 20:07:28
0.0130696,Euro to Dashcoin,09/01/2019 20:07:28
0.00727033,Euro to Bitcoin Cash,09/01/2019 20:07:28
1.15451,Euro to American dollar,09/01/2019 20:07:54
0.90255,Euro to pound sterling,09/01/2019 20:07:54
1.12556,Euro to Swiss franc,09/01/2019 20:07:54
1.5247,Euro to Canadian dollar,09/01/2019 20:07:54
1.60654,Euro to Australian dollar,09/01/2019 20:07:54
1.69743,Euro to New Zealand dollar,09/01/2019 20:07:54
124.956,Euro to Japanese yen,09/01/2019 20:07:54
9.76581,Euro to Norwegian krone,09/01/2019 20:07:54
77.0556,Euro to Russian ruble,09/01/2019 20:07:54
10.2343,Euro to Swedish krona,09/01/2019 20:07:54
1.56192,Euro to Singapore dollar,09/01/2019 20:07:54
6.32544,Euro to Turkish lira,09/01/2019 20:07:54
